Product,Kcal/ml,Pro:Fat:CHO, น้ำหนัก(g)/ช้อน,Kcal/ส่วน,Protein(g)/ส่วน,Kcal/ผง100g,Protein (g)/ผง100g,Fat (g)/ผง100g,CHO (g)/ผง100g,สัดส่วน
Ensure ชนิดผง,1:01,15:29:56,9,38.33,1.44,428,15.9,14,57.4,1ช้อน
Ensure gold กลิ่นวนิลา,1:01,15:29:56,10.1,43.63,1.75,432,17.33,14,56.42,1ช้อน
Ensure gold กลิ่นสตรอเบอร์รี่,1:01,15:29:56,10.1,43.73,1.75,433,17.34,14,56.58,1ช้อน
Ensure gold กลิ่นธัญพืช,1:01,15:29:56,10.1,43.63,1.75,432,17.33,14,56.42,1ช้อน
Ensure gold กลิ่นช็อกโกแลต,1:01,15:29:56,10.1,43.53,1.75,431,17.34,14,55.45,1ช้อน
Ensure gold กลิ่นกาแฟ,1:01,15:29:56,10.1,43.63,1.75,432,17.33,14,56.42,1ช้อน
Boot Optimum,1:01,16:35:49,8,36,1.44,456,19,18,53,1ช้อน
Boot Fiber,1:01,16:34:50,8.3,36,1.44,432,17.2,16.3,54.1,1ช้อน
Isocal,1:01,13:37:50,18,83.81,2.72,470,15.3,19.7,59,1ช้อน
Blendera MF,1:01,15:30:55,8,37.33,1.4,454,16.7,15.04,62.5,1ช้อน
Once complete,1:01,18:35:47,8,34.28,1.54,428,19.17,16.62,51.93,1ช้อน
Jevity,1:01,15:30:55,10.5,44,1.65,421,16.19,14.05,62.51,1ช้อน
Once dialyze,,18:40:42,16,74,3.33,462.5,21.225,20.56,51.49,1ช้อน
Once renal,1.8:1 ,8:40:52,15.2,72,1.44,472.3,9.46,20.99,63.49,1ช้อน
Nutren Balance,1:01,15:40:45,8,35.3,1.32,447,17.1,19.8,50.1,1ช้อน
Nutren Fibre,1:01,16:34:50,8,36,1.44,432,17.2,16.3,54.1,1ช้อน
Nutren junior,1:01,12:35:53,8,37,1.11,463,13.9,18.3,60.7,1ช้อน
Glucerna SR TC,0.95:1 ,20:37:43,10,45,2.25,433,19.51,15.9,41.15,1ช้อน
Gen DM,1:01,17:30:53,8,36,1.53,450,17,15.3,61.6,1ช้อน
Once Pro,1:01,20:40:40,8,34,1.7,425,20.74,18.9,50.37,1ช้อน
Neomune,1:01,25:25:50,8,36.28,2.27,424,26.07,12.06,52.65,1ช้อน
Pan-enteral,0.67:1 ,12:44:44,8,40.84,1.23,511,,25.7,54.52,1ช้อน
Peptamen,1:01,16:35:49,8,36.5,1.46,465,18.5,18,57.2,1ช้อน
Aminoleben Oral,1:01,25:15:60 ,10,42,2.625,420,26.25,7,63,1ช้อน
Glucerna wheat,0.96:1 ,,10.43,45,2,437,19.5,16.7,50.11,1ช้อน
Ensure plus advance,1.5:1 ,25:29:46,- ,330,20,,20,11,37,220ml 
Ensure ชนิดน้ำ,1.06:1 ,0.599351852,- ,266,9.3,,9.3,6.5,43,250ml
Nepro HP 237ml,1.8:1 ,18:47:35,- ,425,19.125,- ,19.125,22.7,37.9,237ml 
Oral impact,1:01,23:21:56,- ,310,17.5,419,23.6,10,56.7,1ซอง(74g) 
Prosure220ml,1.27:1 ,0.888206019,- ,279,14.65,- ,14.6,5.63,40.33,220ml 
Fresubin2kcal,2:01,20:35:45,- ,400,20,- ,20,15.6,43.6,200ml 
Fresubin DM,1.5:1 ,,- ,300,15,- ,15,14,26.2,200ml 
Supportan drink,1.5:1 ,27:40:33,- ,300,20,- ,20,13.33,24.75,200ml 
Nutricia Forticare,1.64:1 ,22:29:49,- ,205,11.275,- ,11,6.6,23.9,125ml
Ensure plant based,1:01,15:29:56,10.1,43.67,1.41,432,17.33,14,56.42,1ช้อน
Glucerna(ชนิดน้ำ แบบกล่อง),,,-,223,10,,10,8.1,20,230ml
Nepro HP ชนิดผง,,17:45:38,8.9,44.6,1.92,501,21.61,25.6,48.77,1ช้อน
Prosure powder,,,8.33,33.56,1.77,402,21.29,8.19,57.66,1ช้อน
โปรตีน Fresubin,-,-,5,20,4.4,-,-,-,-,1ช้อน
โปรตีน Fresubin,-,-,11.5,40,10,-,-,-,-,1ซอง(11.5g) 
โปรตีน Boot Beneprotein,-,-,7,25,6,-,-,-,-,1ช้อน
โปรตีน implex,-,-,11,40,9,-,-,-,-,1ช้อน
